ID,username,title,content,isResolved
2016190,lana321,Hardware,CPU,TRUE
2016191,1rhoades,Software,Application,TRUE
2016192,khali4a,Hardware,Monitor,FALSE
2016193,mia369,Hardware,Keyboard,FALSE
2016194,abella123,Software,OS,TRUE
2016195,42danger,Software,Update,FALSE
2016196,lisa388,Software,Application,TRUE
2016197,ann1839,Software,OS,FALSE
2016198,love452,Software,Update,FALSE
2016199,brandi827,Hardware,CPU,TRUE
2016200,augus7t3,Hardware,Monitor,TRUE
2016201,ames492,Hardware,CPU,FALSE
2016202,reid8739,Software,OS,FALSE
2016203,riley2891,Hardware,Keyboard,FALSE
2016204,stormy82,Hardware,CPU,TRUE
2016205,daniels21,Hardware,CPU,FALSE
2016206,mia9272,Hardware,Monitor,TRUE
2016207,malkova2,Software,Application,FALSE
2016208,sins4782,Software,Update,FALSE
2016209,johnny193,Software,OS,TRUE
